"Freq [GHz]","re(Z(1,1)) [] - hsub='5mil'","re(Z(1,1)) [] - hsub='10mil'","re(Z(1,1)) [] - hsub='15mil'","re(Z(1,1)) [] - hsub='31mil'","re(Z(1,1)) [] - hsub='62mil'","im(Z(1,1)) [] - hsub='5mil'","im(Z(1,1)) [] - hsub='10mil'","im(Z(1,1)) [] - hsub='15mil'","im(Z(1,1)) [] - hsub='31mil'","im(Z(1,1)) [] - hsub='62mil'"
3.075,1.94517634445901,0.489933816783787,1.12101423506383,2.00194544915224,26.5945017678492,22.9520275347987,37.0065602136462,48.2644040592624,70.8898525874332,77.1064661062377
3.08,1.99841622614988,0.487186121163732,1.180952247632,2.09535600154905,26.9911600032667,23.0883107241594,37.2164622597276,48.6360568200704,71.6122358827904,77.8440408651677
3.085,2.05327537296753,0.485631845316202,1.24448005592349,2.19241469435663,27.391542556733,23.2252274115631,37.4311669625546,49.0099889061662,72.3431069282875,78.604796149455
3.09,2.10980656986935,0.48537104130724,1.31175707639711,2.2932156241248,27.7952630407693,23.3628097151445,37.6509333989482,49.3863498778585,73.0828781155059,79.389975758839
3.095,2.16806557119495,0.486514874089174,1.38295099156655,2.39786020256623,28.2018677122201,23.5010903415001,37.8760397532076,49.7652955494005,73.8319872699753,80.200880772441
3.1,2.22811129635951,0.489187069607165,1.45823843221687,2.50645775583843,28.6108272785222,23.640102616683,38.1067850618949,50.1469886288727,74.5908996963184,81.0388711934963
3.105,2.29000604140785,0.493525580551735,1.53780573611004,2.61912619074975,29.0215278010472,23.7798805156854,38.3434911449954,50.5315994222978,75.3601104366738,81.9053672498716
3.11,2.35381570785431,0.499684506988311,1.62184979346084,2.73599273710069,29.4332606139025,23.920458690069,38.5865047455064,50.9193066107965,76.1401467682167,82.8018502476028
3.115,2.41961005037951,0.507836316251864,1.71057899116725,2.85719477685073,29.8452111741089,24.0618724933303,38.8361999021729,51.3102981108241,76.931570969314,83.7298628539026
3.12,2.48746294511805,0.518174415181157,1.80421426980242,2.98288077255252,30.2564467582142,24.2041580035136,39.0929805830459,51.7047720289633,77.7349833881838,84.6910086618897
3.125,2.55745268045031,0.530916138339418,1.90299030978635,3.113211309584,30.6659029218363,24.347352042489,39.3572836107474,52.1029377244306,78.5510258529785,85.6869508612743
3.13,2.62966227241337,0.546306228778631,2.00715686603863,3.24836026919546,31.0723686431656,24.4914921912044,39.6295819137985,52.5050169944175,79.380385468118,86.7194098069876
3.135,2.70417980706858,0.564620903718291,2.11698027387456,3.38851615237027,31.4744700801662,24.6366168000964,39.9103881420285,52.9112453996997,80.2237988486305,87.790159240901
3.14,2.78109881241198,0.586172616942251,2.23274515307695,3.53388357807555,31.8706528853807,24.7827649936921,40.2002586878546,53.3218737506596,81.0820568524066,88.901020880046
3.145,2.86051866269117,0.611315653674482,2.35475634211712,3.68468498379429,32.259163043483,24.9299766682659,40.4997981589378,53.7371697770671,81.9560098798895,90.0538570379281
3.15,2.94254501830082,0.640452723327568,2.4833411006229,3.84116256144484,32.638026226962,25.0782924812044,40.8096643511225,54.1574200087431,82.8465738221016,91.2505608936634
3.155,3.02729030477356,0.674042752289391,2.61885162565418,4.00358046812902,33.0050257069011,25.2277538304991,41.1305737732557,54.5829318987007,83.7547367514118,92.4930439670634
3.16,3.11487423476741,0.712610124695912,2.76166793648992,4.17222735886629,33.3576789114797,25.3784028225,41.4633077768303,55.0140362256704,84.6815664655321,93.7832202972002
3.165,3.20542437738028,0.756755676320281,2.91220119387369,4.34741929791159,33.693212797739,25.5302822257329,41.8087193424711,55.4510898192341,85.6282190144496,95.1229867587521
3.17,3.29907677959993,0.807169818358491,3.07089753356273,4.52950311685317,34.0085382959443,25.6834354081944,42.1677405706783,55.8944786583296,86.5959483630396,96.5141988866957
3.175,3.39597664523399,0.864648257941646,3.23824251128807,4.71886030199223,34.30022420448,25.837906255072,42.5413909138685,56.3446214029109,87.5861173698339,97.9586415189295
3.18,3.49627907725951,0.930110895705475,3.41476627778427,4.91591151123342,34.5644710608373,25.9937390632983,42.9307861675003,56.8019734293636,88.6002102959069,99.4579935127519
3.185,3.60014989019839,1.00462462418024,3.60104962960387,5.12112184278033,34.7970856950823,26.1509784086989,43.3371482053592,57.267031453297,89.6398470984514,101.013785751172
3.19,3.70776649986702,1.08943093243105,3.79773111559108,5.33500700552902,34.9934573900335,26.3096689807347,43.7618153910992,57.7403388390218,90.7067998130506,102.627351637246
3.195,3.81931889867585,1.18597945287279,4.0055154222806,5.55814057574078,35.1485368301126,26.469855378935,44.2062535148606,58.2224917140081,91.8030113890995,104.299769290065
3.2,3.93501072557485,1.29596887893981,4.22518331695324,5.79116256840513,35.2568193196099,26.6315818640437,44.6720669753158,58.714146029607,92.9306174170438,106.031794718541
3.205,4.05506044076519,1.42139705414541,4.45760349846455,6.03478960738345,35.3123340892519,26.7948920556305,45.1610097317794,59.2160257372512,94.0919712776601,107.823785375846
3.21,4.17970261643168,1.56462250478485,4.70374679847848,6.28982704955458,35.3086418816051,26.9598285664007,45.6749952552647,59.7289322833093,95.2896733570797,109.675613708384
3.215,4.30918935600748,1.72844028498515,4.96470329655297,6.55718350960427,35.2388433990988,27.1264325616325,46.2161042627659,60.2537556671188,96.5266051126018,111.586570631511
3.22,4.44379185586738,1.91617575237655,5.24170307154806,6.83788835032082,35.0956015934193,27.2947432300155,46.7865883527924,60.7914873570625,97.8059689513335,113.555259314525
3.225,4.58380212486793,2.13180082492101,5.5361415229161,7.13311285714788,34.8711811414682,27.4647971495947,47.3888666635483,61.3432354207622,99.1313351065047,115.579480264416
3.23,4.72953487881471,2.38007840920846,5.84961047815924,7.44419601743939,34.5575087482313,27.6366275294394,48.0255111856279,61.9102422996352,100.506696978414,117.656109483
3.235,4.88132962874077,2.66674204492478,6.18393668503353,7.77267609115348,34.1462580837127,27.8102633039768,48.6992141360704,62.4939057473825,101.936536766288,119.780972449585
3.24,5.03955298381842,2.99871934209001,6.54122980928814,8.12032951397525,33.6289631274411,27.9857280525008,49.4127274788749,63.0958035583309,103.425903677861,121.948717851753
3.245,5.20460119178656,3.38440936376019,6.92394277981878,8.48921914901164,32.9971633740701,28.16303871106,50.1687597244495,63.7177228357815,104.98050759762,124.152696329967
3.25,5.37690294192663,3.83402539867163,7.33494833043192,8.88175454596955,32.2425836517765,28.3422040375376,50.9698077763445,64.3616946908346,106.606831866397,126.384850967267
3.255,5.55692245781781,4.36001486725363,7.77763701208955,9.3007677442746,31.3573501247224,28.5232227830455,51.8178907010541,65.0300354109879,108.312269834793,128.635627754223
3.26,5.74516290926938,4.97756598426921,8.25604399137306,9.74960936632154,30.3342423072813,28.7060815134858,52.7141363354777,65.7253952756517,110.105291184021,130.893915655854
3.265,5.94217017485594,5.70520351519437,8.77501491927496,10.2322714321799,29.1669785579146,28.8907520139412,53.6581486337658,66.4508162790366,111.995645776614,133.147027015251
3.27,6.14853698820226,6.56545840248424,9.34042553613671,10.7535457005774,27.8505295471376,29.0771881950492,54.6470513836539,67.2097999581091,113.994615169317,135.380729614301
3.275,6.36490750234355,7.58555902266272,9.95947625359329,11.3192297241115,26.3814506925188,29.26532240418,55.6740608294668,68.0063861272533,116.115325123262,137.579341508429
3.28,6.59198230678369,8.79801955869715,10.6410929962361,11.9363976909127,24.7582207183217,29.4550610244904,56.7263873370972,68.8452422122083,118.373136813963,139.725898486526
3.285,6.8305239308107,10.2408678732794,11.39648121555,12.6137602743097,22.9815696484266,29.6462792210383,57.7822149683226,69.7317602817875,120.786140454682,141.802401444202
3.29,7.0813628635395,11.9570243128105,12.2399048145877,13.3621483337535,21.0547761250545,29.8388146642471,58.8064897286625,70.6721532100667,123.375783398663,143.790146957338
3.295,7.34540411510337,13.9919720308201,13.1898020161153,14.1951713471913,18.9839115095814,30.0324600260851,59.7453402160641,71.6735293453612,126.167676501279,145.670138921328
3.3,7.62363433312483,16.3883343278886,14.2704171161555,15.1301260955346,16.778007354647,30.226954002143,60.5193207334826,72.7438995103139,129.192639110856,147.423572514483
3.305,7.91712947228902,19.1754048676061,15.5142408216505,16.1892697075936,14.4491240789574,30.4219705619544,61.0165909794277,73.8920154551594,132.488066747477,149.032374440586
3.31,8.2270629900867,22.3515079839652,16.9657498706429,17.401632873294,12.012302403083,30.6171060687759,61.0889950505761,75.1268193440756,136.099739609724,150.479776143752
3.315,8.5547145052587,25.8583922955907,18.6872886843743,18.8056499571854,9.48538540705968,30.8118638368469,60.556896745949,76.4560148253962,140.084239294983,151.750890395026
3.32,8.90147880262445,29.5514777896531,20.7685708746002,20.4530520015549,6.88870766037122,31.0056356069496,59.2314894608794,77.8826417475121,144.512212207884,152.833257318425
3.325,9.26887499264943,33.1788493060117,23.3424193125937,22.4147603549064,4.24465804727053,31.1976793180212,56.9623612075549,79.3970012930666,149.472819555705,153.717324444909
3.33,9.65855552796754,36.3918643825412,26.6112970270784,24.790036928862,1.57713359058714,31.3870924319798,53.7070628575306,80.9573328137023,155.07985357651,154.39682735513
3.335,10.0723146309217,38.8085614467962,30.8916660662452,27.7210987441056,-1.08908854191905,31.5727799299388,49.5963021635581,82.4419517103268,161.480174997648,154.869043040697
3.34,10.5120954810376,40.1233876857823,36.6813371153195,31.4172163322602,-3.72902591026809,31.7534159411258,44.9486460797392,83.5252793996435,168.865287815364,155.134896880297
