"Freq [GHz]","re(Z(1,1)) [] - hsub='5mil'","re(Z(1,1)) [] - hsub='10mil'","re(Z(1,1)) [] - hsub='15mil'","re(Z(1,1)) [] - hsub='31mil'","re(Z(1,1)) [] - hsub='62mil'","im(Z(1,1)) [] - hsub='5mil'","im(Z(1,1)) [] - hsub='10mil'","im(Z(1,1)) [] - hsub='15mil'","im(Z(1,1)) [] - hsub='31mil'","im(Z(1,1)) [] - hsub='62mil'"
9.23,2.00775742632727,1.4368566464928,2.99065346647818,7.16464808102975,15.8924838655384,59.6340104984774,90.9497100194356,110.836120253885,148.440012433901,180.535368972448
9.235,1.96558660081808,1.50517114903871,2.95956630498842,6.87417082786025,15.0747234940662,59.7350211952204,91.3699920218382,111.417625735154,149.102343316607,181.503978877911
9.24,1.92485565067997,1.59921611851798,2.93179018705851,6.59155286515045,14.277875728142,59.8362736417876,91.784295025294,111.980579368974,149.771665645128,182.517871095413
9.245,1.88553488218525,1.7193169645067,2.90606986244754,6.31700474240599,13.5026774661693,59.9377813127338,92.1908148384274,112.525845257991,150.447974972939,183.576836089448
9.25,1.8475974511579,1.86580400479055,2.88143668412924,6.05074056235462,12.7499860914173,60.0395608770259,92.5873975020443,113.054247486778,151.131261986143,184.680640109962
9.255,1.81101941196324,2.0389240187251,2.85716258892611,5.79297793088515,12.0207718547131,60.1416320721227,92.9714715654244,113.566557924367,151.821512298859,185.829020929547
9.26,1.77577976319654,2.23872029572542,2.83272111744497,5.54393789885538,11.3161107620759,60.2440175961077,93.3399895502678,114.063490832286,152.518706244785,187.021683057416
9.265,1.74186049180609,2.46487623210248,2.80775461865699,5.30384489536719,10.6371778482934,60.3467430176363,93.6893895977255,114.545702098911,153.22281866516,188.258292528469
9.27,1.70924661726487,2.71652021069328,2.78204675483021,5.0729266521023,9.98524072571958,60.4498367034658,94.0155930591782,115.013791520391,153.933818693323,189.53847135185
9.275,1.67792623729997,2.99199501375817,2.75549947026404,4.85141411830823,9.36165330567993,60.5533297633516,94.314058733524,115.468306996007,154.651669536134,190.861791693185
9.28,1.64789057660064,3.28860431227697,2.72811367235465,4.63954136601936,8.76784959780202,60.6572560121291,94.5799181764638,115.909749835394,155.376328252512,192.227769857291
9.285,1.61913403985414,3.60236224446694,2.69997297217893,4.43754548509689,8.20533750027085,60.7616519488445,94.8082166184423,116.338580614879,156.107745529419,193.635860133291
9.29,1.59165427040303,3.92778874891817,2.67122993064705,4.24566646767258,7.67569250153565,60.8665567528549,94.9942772034756,116.755225193221,156.845865455601,195.085448561084
9.295,1.5654522157781,4.25780970737498,2.64209434833498,4.06414708157793,7.18055122138272,60.9720122968828,95.1341889963422,117.160080621001,157.590625293459,196.575846676804
9.3,1.54053220133718,4.58383046819897,2.61282321923716,3.89323273234757,6.72160472666293,61.0780631770851,95.2253896208473,117.553520766153,158.341955249456,198.106285294804
9.305,1.51690201323256,4.89604485675428,2.58371203990693,3.73317131338809,6.30059156438186,61.1847567602782,95.2672740133771,117.935901540742,159.099778243475,199.675908384624
9.31,1.49457299193745,5.18401091815749,2.55508722604349,3.5842130439097,5.91929046243866,61.2921432485497,95.2617211567065,118.307565658382,159.864009677601,201.283767103029
9.315,1.47356013758652,5.43746746689727,2.52729943937402,3.44661029422865,5.5795126561078,61.4002757615839,95.2134074175218,118.668846882996,160.634557204829,202.928814043336
9.32,1.45388222842507,5.64729265617445,2.50071766975136,3.3206173980566,5.28309380648412,61.5092104371288,95.1297867721257,119.020073751837,161.411320498235,204.609897766699
9.325,1.43556195371948,5.80644161749045,2.47572395187431,3.20649045140925,5.03188548561592,61.6190065501427,95.0206747898779,119.36157277148,162.194191021179,206.325757682494
9.33,1.41862606255667,5.91067481037457,2.45270862400165,3.10448709778118,4.82774621197962,61.72972665127,94.8974657030103,119.693671096883,162.983051799153,208.075019347362
9.335,1.40310553005332,5.95892166948208,2.43206605845303,3.0148662992519,4.67253202934361,61.8414367254194,94.7721101654265,120.016698711866,163.777777193939,209.856190254563
9.34,1.38903574261111,5.95321012125022,2.41419081141409,2.93788809321209,4.56808663190983,61.9542063713405,94.6560464336918,120.33099013545,164.578232680737,211.667656186899
9.345,1.3764567039891,5.89820040284326,2.39947415334564,2.87381333442034,4.51623104892661,62.0681090032269,94.5592827371784,120.636885682986,165.384274629023,213.507678207418
