"Freq [GHz]","re(Z(1,1)) [] - Cu_h='17.5um' hsub='5mil'","re(Z(1,1)) [] - Cu_h='17.5um' hsub='10mil'","re(Z(1,1)) [] - Cu_h='17.5um' hsub='31mil'","re(Z(1,1)) [] - Cu_h='17.5um' hsub='62mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='5mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='10mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='31mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='62mil'"
9.115,2.23243067305568,12.1684826769631,11.464267496646,56.2821102365923,54.8805758609636,95.057314109983,143.036948799296,161.49385657648
9.12,1.85047342063054,12.0807221736011,13.2153338716016,55.0781518323661,55.213268087724,94.9621829235852,144.686776777452,162.260435621069
9.125,1.55041571474632,11.9869934730913,15.4600460191237,53.8770432862163,55.6124641735679,94.8648931682604,145.103398028231,163.037989481361
9.13,1.34651890485593,11.8868477880604,17.1903399005159,52.6788912617986,56.0433608707113,94.7655903202435,144.278432717373,163.826728487297
9.135,1.23565805059905,11.7798125742946,17.8879231574018,51.4837900227598,56.4712595573166,94.6644583829585,142.966867094784,164.626849745921
9.14,1.20192542052682,11.6653925383263,17.750369434318,50.2918174279869,56.8699551302546,94.5617252866349,141.82070929671,165.438535273364
9.145,1.22400222732233,11.5430713054507,17.1604779645815,49.1030299951601,57.224824530391,94.4576687665465,141.059604537128,166.261949960433
9.15,1.28126322126788,11.4123138906201,16.384828985589,47.9174568048758,57.5313828758715,94.3526226982653,140.662140940386,167.097239379637
9.155,1.3570089431913,11.2725701319931,15.5602753371358,46.7350919550426,57.7918881462271,94.2469838442907,140.545350094658,167.944527456292
9.16,1.43926268025986,11.1232792629305,14.7471545528886,45.5558851934794,58.0120553495209,94.1412189355192,140.63274309426,168.803914050067
9.165,1.52022683554847,10.96387581134,13.9687006352,44.3797302492224,58.1987363054259,94.0358719723004,140.867852089691,169.675472530598
