f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
14501000	11	333	96818	-3000610
14511000	13	335	117112	-2979359
14521000	13	336	119085	-2969301
14531000	13	332	120368	-3003841
14541000	13	334	113407	-2985242
14551000	13	336	114118	-2972883
14561000	13	341	114495	-2930532
14571000	12	338	101366	-2957018
14581000	11	338	97445	-2959429
14591000	12	340	107212	-2936461
14601000	13	341	108803	-2925090
14611000	16	341	134325	-2923391
14621000	13	343	107310	-2913964
14631000	11	343	90534	-2909923
14641000	13	344	108444	-2906001
14651000	12	346	97127	-2890592
14661000	14	346	114464	-2885079
14671000	16	347	130451	-2879232
14681000	18	348	146630	-2862856
14691000	16	349	130373	-2858187
14701000	15	351	121607	-2840538
14711000	15	351	120637	-2842605
14721000	18	351	146250	-2842201
14731000	16	352	127466	-2837806
14741000	16	357	129136	-2798431
14751000	16	356	129374	-2800547
14761000	18	360	139218	-2768356
14771000	19	356	146485	-2800841
14781000	17	360	129193	-2769583
14791000	18	359	142601	-2777153
14801000	18	361	134669	-2763355
14811000	17	361	130865	-2765948
14821000	18	362	134039	-2757025
14831000	18	361	134437	-2759770
14841000	15	364	113801	-2740581
14851000	17	365	124726	-2734730
14861000	17	366	122805	-2723448
14871000	17	363	126567	-2752077
14881000	17	368	127164	-2715004
14891000	20	368	149724	-2712582
14901000	17	369	123846	-2705411
14911000	16	367	119342	-2717971
14921000	15	368	108183	-2715294
14931000	15	367	114573	-2720434
14941000	18	371	128972	-2691742
14951000	15	368	109865	-2711071
14961000	15	368	111440	-2712683
14971000	16	367	118860	-2719031
14981000	18	368	130406	-2713644
14991000	15	370	110380	-2695744
15001000	16	371	114789	-2686891
15011000	15	370	107631	-2700598
15021000	17	368	123596	-2710924
15031000	16	370	114792	-2695686
15041000	14	371	102508	-2694045
15051000	14	371	99808	-2694725
15061000	13	374	90937	-2668905
15071000	16	372	112052	-2681487
15081000	12	372	85019	-2685017
15091000	11	376	79889	-2660362
15101000	13	374	93306	-2668880
15111000	12	376	85159	-2656390
15121000	13	374	93848	-2673937
15131000	13	373	94505	-2674925
15141000	15	374	104726	-2670380
15151000	15	371	108548	-2687753
15161000	11	375	81327	-2663864
15171000	13	375	95246	-2660051
15181000	14	375	99463	-2664992
15191000	12	376	82736	-2660318
15201000	11	375	80744	-2662576
15211000	13	374	90982	-2670241
15221000	11	375	75886	-2666550
15231000	11	376	77812	-2658053
15241000	13	376	91670	-2654234
15251000	13	376	90807	-2656601
15261000	11	375	78725	-2666281
15271000	13	375	88871	-2661807
15281000	12	375	88420	-2664455
15291000	13	378	87290	-2639821
15301000	10	377	69131	-2647750
15311000	13	377	90925	-2647288
15321000	12	379	83119	-2633423
15331000	9	381	60751	-2625987
15341000	9	378	64337	-2641375
15351000	13	380	86857	-2630282
15361000	10	381	70934	-2624794
15371000	13	383	91493	-2609763
15381000	13	383	90316	-2610678
15391000	11	382	72519	-2618543
15401000	15	384	101087	-2597697
15411000	12	382	81210	-2615768
15421000	12	383	83266	-2605976
15431000	10	384	66386	-2603293
15441000	13	385	88262	-2591247
15451000	12	387	82126	-2578263
15461000	12	386	79675	-2590241
15471000	15	389	100991	-2565621
15481000	13	390	88378	-2563388
15491000	15	393	94268	-2543749
15501000	13	390	85463	-2564171
15511000	11	390	72976	-2560728
15521000	14	394	89279	-2536096
15531000	14	395	90162	-2527346
15541000	14	395	92155	-2528412
15551000	15	396	94849	-2520265
15561000	13	397	82130	-2518871
15571000	17	398	105228	-2507746
