Excitation
"Frequency"[Hz]	"VoltageSource1 [Ohm]"	
1.04350000E+7	1.74015329E+2	
1.04360000E+7	1.73982674E+2	
1.04370000E+7	1.74375181E+2	
1.04380000E+7	1.74230347E+2	
1.04390000E+7	1.74209132E+2	
1.04400000E+7	1.74454152E+2	
1.04410000E+7	1.74244120E+2	
1.04420000E+7	1.74261843E+2	
1.04430000E+7	1.74285068E+2	
1.04440000E+7	1.74184649E+2	
1.04450000E+7	1.74397109E+2	
1.04460000E+7	1.74340920E+2	
1.04470000E+7	1.74429681E+2	
1.04480000E+7	1.74492813E+2	
1.04490000E+7	1.74249383E+2	
1.04500000E+7	1.74348573E+2	
1.04510000E+7	1.74281905E+2	
1.04520000E+7	1.74704152E+2	
1.04530000E+7	1.74561000E+2	
1.04540000E+7	1.74413768E+2	
1.04550000E+7	1.74476598E+2	
1.04560000E+7	1.74245618E+2	
1.04570000E+7	1.74466072E+2	
1.04580000E+7	1.74444484E+2	
1.04590000E+7	1.74351340E+2	
1.04600000E+7	1.74709275E+2	
1.04610000E+7	1.75031717E+2	
1.04620000E+7	1.74871745E+2	
1.04630000E+7	1.74681710E+2	
1.04640000E+7	1.74663592E+2	
1.04650000E+7	1.74636168E+2	
1.04660000E+7	1.74578906E+2	
1.04670000E+7	1.74666714E+2	
1.04680000E+7	1.74615305E+2	
1.04690000E+7	1.74908640E+2	
1.04700000E+7	1.74490752E+2	
1.04710000E+7	1.74711090E+2	
1.04720000E+7	1.75127545E+2	
1.04730000E+7	1.74738158E+2	
1.04740000E+7	1.74951770E+2	
1.04750000E+7	1.74819702E+2	
1.04760000E+7	1.74862620E+2	
1.04770000E+7	1.74978903E+2	
1.04780000E+7	1.74787156E+2	
1.04790000E+7	1.74772424E+2	
1.04800000E+7	1.75018337E+2	
1.04810000E+7	1.74599994E+2	
1.04820000E+7	1.74896594E+2	
1.04830000E+7	1.75135363E+2	
1.04840000E+7	1.75157439E+2	
1.04850000E+7	1.75276127E+2	
1.04860000E+7	1.75086495E+2	
1.04870000E+7	1.74987706E+2	
1.04880000E+7	1.74853673E+2	
1.04890000E+7	1.74973978E+2	
1.04900000E+7	1.75061612E+2	
1.04910000E+7	1.75090532E+2	
1.04920000E+7	1.75342461E+2	
1.04930000E+7	1.75102740E+2	
1.04940000E+7	1.75084907E+2	
1.04950000E+7	1.75116798E+2	
1.04960000E+7	1.75069513E+2	
1.04970000E+7	1.75327513E+2	
1.04980000E+7	1.75172505E+2	
1.04990000E+7	1.75206606E+2	
1.05000000E+7	1.75257775E+2	
1.05010000E+7	1.75262393E+2	
1.05020000E+7	1.75360655E+2	
1.05030000E+7	1.75347683E+2	
1.05040000E+7	1.75376522E+2	
1.05050000E+7	1.75287904E+2	
1.05060000E+7	1.75307258E+2	
1.05070000E+7	1.75415088E+2	
1.05080000E+7	1.75494573E+2	
1.05090000E+7	1.75411933E+2	
1.05100000E+7	1.75333344E+2	
1.05110000E+7	1.75611487E+2	
1.05120000E+7	1.75247345E+2	
1.05130000E+7	1.75598152E+2	
1.05140000E+7	1.75544198E+2	
1.05150000E+7	1.75440850E+2	
1.05160000E+7	1.75476951E+2	
1.05170000E+7	1.75516071E+2	
1.05180000E+7	1.75333216E+2	
1.05190000E+7	1.75536022E+2	
1.05200000E+7	1.75713239E+2	
