f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
16521000	14	298	152565	-3353896
16531000	14	299	158226	-3335923
16541000	15	295	173635	-3375606
16551000	13	298	143481	-3347453
16561000	19	301	211118	-3312773
16571000	13	297	150140	-3358385
16581000	16	300	178093	-3328684
16591000	19	302	211248	-3299367
16601000	16	305	174437	-3274761
16611000	17	306	182265	-3262405
16621000	17	304	185029	-3278938
16631000	15	303	164200	-3295153
16641000	16	306	168098	-3259675
16651000	16	313	163236	-3188244
16661000	17	307	182306	-3249649
16671000	14	306	143560	-3257496
16681000	18	300	200669	-3318532
16691000	17	310	173846	-3217202
16701000	15	311	155698	-3210859
16711000	19	309	198078	-3219392
16721000	15	315	153894	-3172066
16731000	16	312	160438	-3196022
16741000	18	311	188865	-3207060
16751000	18	311	189300	-3206987
16761000	17	313	168176	-3186414
16771000	15	315	149274	-3166910
